pair_id,src_ip,dst_ip,n_observations,dominant_period_s,acf_peak,acf_peak_lag,iat_cv,fft_period_s,fft_power_ratio,is_periodic,beacon_confidence,is_beacon_pair
10.0.1.30→216.239.35.0,10.0.1.30,216.239.35.0,2535,1022.4,0.8508,2,0.0502,64.0,1.0,True,0.9749,True
10.0.1.75→198.51.100.20,10.0.1.75,198.51.100.20,721,3592.0,0.8293,2,0.0508,64.0,1.0,True,0.9746,True
10.0.3.200→198.51.100.99,10.0.3.200,198.51.100.99,119,21760.6,0.6441,2,0.0766,64.0,1.0,True,0.9617,True
10.0.1.50→203.0.113.10,10.0.1.50,203.0.113.10,8649,299.4,0.6854,2,0.1003,64.0,1.0,True,0.9498,True
10.0.2.100→203.0.113.55,10.0.2.100,203.0.113.55,2876,900.9,0.5355,2,0.1498,64.0,1.0,True,0.9251,True
10.0.1.20→13.107.4.50,10.0.1.20,13.107.4.50,722,3556.2,0.3759,2,0.2009,64.0,1.0,True,0.8995,True
10.0.3.82→52.29.3.76,10.0.3.82,52.29.3.76,10,897810.7,0.4307,10,0.2624,0.0,0.0,True,0.6688,True
10.0.2.61→52.215.173.59,10.0.2.61,52.215.173.59,11,398767.6,0.4694,4,0.4554,0.0,0.0,True,0.5723,True
192.168.1.108→52.163.173.65,192.168.1.108,52.163.173.65,11,316017.9,0.3981,4,0.5418,0.0,0.0,True,0.5291,True
10.0.1.7→52.215.173.59,10.0.1.7,52.215.173.59,10,486963.1,0.4762,4,0.595,0.0,0.0,True,0.5025,True
10.0.1.133→52.38.211.174,10.0.1.133,52.38.211.174,14,592750.3,0.252,19,1.3295,0.0,0.0,False,0.4,False
10.0.1.38→52.21.247.25,10.0.1.38,52.21.247.25,10,372234.2,0.3167,9,1.3262,0.0,0.0,False,0.4,False
192.168.1.154→52.94.10.111,192.168.1.154,52.94.10.111,12,489989.2,0.3141,9,1.0658,0.0,0.0,False,0.4,False
10.0.1.172→52.129.71.22,10.0.1.172,52.129.71.22,12,705744.6,0.3796,13,0.7911,0.0,0.0,False,0.4,False
10.0.2.116→52.139.72.252,10.0.2.116,52.139.72.252,10,68672.7,0.3399,2,1.5408,0.0,0.0,False,0.4,False
10.0.2.76→52.143.146.240,10.0.2.76,52.143.146.240,11,488891.0,0.4217,5,0.6371,0.0,0.0,False,0.4,False
10.0.2.185→52.162.2.26,10.0.2.185,52.162.2.26,12,167958.0,0.3779,2,0.8411,0.0,0.0,False,0.4,False
10.0.2.50→52.185.82.221,10.0.2.50,52.185.82.221,10,812947.0,0.3793,10,0.7539,0.0,0.0,False,0.4,False
10.0.2.58→52.159.83.2,10.0.2.58,52.159.83.2,10,505490.4,0.4194,6,0.7584,0.0,0.0,False,0.4,False
10.0.1.198→52.123.99.233,10.0.1.198,52.123.99.233,10,21439.6,0.3443,1,1.2057,0.0,0.0,False,0.4,False
10.0.2.83→52.143.146.240,10.0.2.83,52.143.146.240,10,99345.9,0.3165,2,1.5015,0.0,0.0,False,0.4,False
10.0.1.150→52.220.160.138,10.0.1.150,52.220.160.138,10,154253.5,0.3257,3,1.3797,0.0,0.0,False,0.4,False
192.168.1.157→52.57.181.115,192.168.1.157,52.57.181.115,11,458443.5,0.3029,12,1.4458,0.0,0.0,False,0.4,False
10.0.1.251→52.147.198.242,10.0.1.251,52.147.198.242,11,530058.5,0.3857,7,0.8189,0.0,0.0,False,0.4,False
192.168.1.158→52.156.105.203,192.168.1.158,52.156.105.203,12,32941.2,0.3092,1,0.9865,0.0,0.0,False,0.4,False
192.168.1.164→52.57.86.157,192.168.1.164,52.57.86.157,10,87249.6,0.361,2,1.5142,0.0,0.0,False,0.4,False
10.0.2.69→52.146.84.103,10.0.2.69,52.146.84.103,12,372785.5,0.2601,10,0.9854,0.0,0.0,False,0.4,False
10.0.1.202→52.57.86.157,10.0.1.202,52.57.86.157,11,204595.6,0.3398,3,1.1545,0.0,0.0,False,0.4,False
10.0.1.253→52.32.245.196,10.0.1.253,52.32.245.196,14,360207.0,0.3125,9,1.1318,0.0,0.0,False,0.4,False
192.168.1.164→52.88.101.137,192.168.1.164,52.88.101.137,12,647566.8,0.4917,10,0.9291,0.0,0.0,False,0.4,False
192.168.1.185→52.216.227.179,192.168.1.185,52.216.227.179,12,153933.3,0.2629,6,1.4844,0.0,0.0,False,0.4,False
10.0.1.45→52.62.161.110,10.0.1.45,52.62.161.110,11,750140.3,0.3765,11,0.9053,0.0,0.0,False,0.4,False
192.168.1.191→52.92.5.8,192.168.1.191,52.92.5.8,10,150889.2,0.344,3,1.4162,0.0,0.0,False,0.4,False
10.0.2.18→52.140.245.52,10.0.2.18,52.140.245.52,12,356830.4,0.4171,5,0.8816,0.0,0.0,False,0.4,False
192.168.1.210→52.172.189.147,192.168.1.210,52.172.189.147,10,187801.9,0.477,2,0.8688,0.0,0.0,False,0.4,False
10.0.1.240→52.7.235.177,10.0.1.240,52.7.235.177,10,304002.0,0.2741,8,1.529,0.0,0.0,False,0.4,False
192.168.1.211→52.46.218.32,192.168.1.211,52.46.218.32,13,949651.3,0.4393,10,0.6429,0.0,0.0,False,0.4,False
10.0.2.231→52.13.106.232,10.0.2.231,52.13.106.232,11,586752.9,0.5556,6,0.9481,0.0,0.0,False,0.4,False
10.0.2.240→52.176.94.211,10.0.2.240,52.176.94.211,10,170853.5,0.3193,4,1.6723,0.0,0.0,False,0.4,False
10.0.1.12→52.227.96.208,10.0.1.12,52.227.96.208,13,25564.0,0.3069,1,1.3643,0.0,0.0,False,0.4,False
10.0.2.190→52.250.188.94,10.0.2.190,52.250.188.94,11,180530.3,0.3117,4,1.1558,0.0,0.0,False,0.4,False
10.0.2.50→52.32.245.196,10.0.2.50,52.32.245.196,11,161932.1,0.3409,3,1.2153,0.0,0.0,False,0.4,False
192.168.1.217→52.214.107.150,192.168.1.217,52.214.107.150,10,113002.1,0.3971,2,1.5589,0.0,0.0,False,0.4,False
10.0.1.203→52.67.61.32,10.0.1.203,52.67.61.32,10,127329.6,0.4431,3,1.9385,0.0,0.0,False,0.4,False
192.168.1.225→52.108.42.151,192.168.1.225,52.108.42.151,10,159216.4,0.3794,2,1.4814,0.0,0.0,False,0.4,False
10.0.1.13→52.177.52.176,10.0.1.13,52.177.52.176,11,839573.1,0.4453,13,1.0891,0.0,0.0,False,0.4,False
