pair_id,src_ip,dst_ip,flow_count,beacon_confidence,duration_std,uncommon_port_hits,avg_total_bytes,off_hour_connections,priority_score
10.0.3.82→52.29.3.76,10.0.3.82,52.29.3.76,10,0.6688,3.9722,6,30277.5,3,6
10.0.1.20→13.107.4.50,10.0.1.20,13.107.4.50,722,0.8995,0.0097,0,10503.27,240,6
10.0.3.200→198.51.100.99,10.0.3.200,198.51.100.99,119,0.9617,0.0105,0,65670.13,39,6
10.0.1.30→216.239.35.0,10.0.1.30,216.239.35.0,2535,0.9749,0.0099,0,61.49,844,6
10.0.1.50→203.0.113.10,10.0.1.50,203.0.113.10,8649,0.9498,0.01,0,663.86,2879,6
10.0.2.100→203.0.113.55,10.0.2.100,203.0.113.55,2876,0.9251,0.0101,0,1329.69,963,6
10.0.1.75→198.51.100.20,10.0.1.75,198.51.100.20,721,0.9746,0.0102,0,331.08,240,6
10.0.1.198→52.123.99.233,10.0.1.198,52.123.99.233,10,0.4,1.1307,5,166258.4,4,5
10.0.3.176→52.21.247.25,10.0.3.176,52.21.247.25,10,0.4,2.2824,6,78794.8,2,5
192.168.1.157→52.57.181.115,192.168.1.157,52.57.181.115,11,0.4,5.8074,9,44391.36,5,5
10.0.1.172→52.129.71.22,10.0.1.172,52.129.71.22,12,0.4,10.4609,6,49322.0,3,5
10.0.3.141→52.45.97.168,10.0.3.141,52.45.97.168,11,0.4,5.5455,7,24717.91,1,5
10.0.1.12→52.227.96.208,10.0.1.12,52.227.96.208,13,0.4,2.523,9,41218.38,5,5
10.0.3.58→52.32.158.89,10.0.3.58,52.32.158.89,11,0.4,3.4255,9,46657.36,2,5
10.0.1.161→52.195.208.14,10.0.1.161,52.195.208.14,14,0.4,2.6832,12,47160.93,3,5
10.0.3.23→52.201.72.99,10.0.3.23,52.201.72.99,10,0.4,34.2382,8,83909.8,1,5
10.0.1.212→52.34.104.238,10.0.1.212,52.34.104.238,12,0.4,1.4793,10,134600.33,4,5
10.0.1.240→52.7.235.177,10.0.1.240,52.7.235.177,10,0.4,1.3068,3,96504.7,3,5
10.0.1.133→52.38.211.174,10.0.1.133,52.38.211.174,14,0.4,6.5778,10,32100.21,5,5
10.0.3.216→52.5.206.13,10.0.3.216,52.5.206.13,11,0.4,3.3286,7,45883.91,3,5
192.168.1.111→52.30.169.56,192.168.1.111,52.30.169.56,11,0.4,2.405,8,120728.45,4,5
10.0.3.243→52.93.117.242,10.0.3.243,52.93.117.242,11,0.4,2.8851,7,43897.27,4,5
10.0.3.72→52.71.3.212,10.0.3.72,52.71.3.212,11,0.4,5.5303,8,202627.0,3,5
10.0.3.198→52.216.227.179,10.0.3.198,52.216.227.179,10,0.4,1.6013,8,44367.0,4,5
10.0.3.91→52.57.181.115,10.0.3.91,52.57.181.115,11,0.4,7.0448,8,42702.55,3,5
10.0.3.50→52.163.173.65,10.0.3.50,52.163.173.65,13,0.4,5.5674,10,34618.54,6,5
10.0.1.202→52.57.86.157,10.0.1.202,52.57.86.157,11,0.4,1.1907,7,46454.45,2,5
10.0.3.160→52.107.17.86,10.0.3.160,52.107.17.86,10,0.4,2.8015,6,78756.0,2,5
10.0.3.155→52.96.85.229,10.0.3.155,52.96.85.229,10,0.4,2.5351,6,109839.9,4,5
10.0.2.103→52.75.67.202,10.0.2.103,52.75.67.202,10,0.4,5.5441,6,46725.6,4,5
10.0.3.158→52.185.69.232,10.0.3.158,52.185.69.232,11,0.4,2.8156,7,40513.27,1,5
10.0.1.160→52.190.26.88,10.0.1.160,52.190.26.88,11,0.4,5.6815,5,32037.36,4,5
192.168.1.108→52.163.173.65,192.168.1.108,52.163.173.65,11,0.5291,2.2695,6,75293.64,5,5
10.0.2.8→52.143.143.211,10.0.2.8,52.143.143.211,10,0.4,5.0895,5,44818.5,5,5
10.0.3.13→52.93.117.242,10.0.3.13,52.93.117.242,12,0.4,8.4514,8,46425.0,1,5
10.0.1.253→52.32.245.196,10.0.1.253,52.32.245.196,14,0.4,1.9465,9,60125.43,2,5
10.0.3.106→52.167.244.25,10.0.3.106,52.167.244.25,13,0.4,3.6921,8,70614.38,1,5
10.0.3.102→52.97.123.59,10.0.3.102,52.97.123.59,10,0.4,5.1826,4,48545.7,2,5
10.0.3.98→52.67.46.173,10.0.3.98,52.67.46.173,11,0.4,4.0408,5,30703.0,2,5
10.0.2.93→52.221.252.23,10.0.2.93,52.221.252.23,10,0.4,2.2713,9,67743.0,3,5
192.168.1.43→52.146.84.103,192.168.1.43,52.146.84.103,10,0.4,6.4744,9,131845.2,5,5
10.0.1.38→52.21.247.25,10.0.1.38,52.21.247.25,10,0.4,6.8757,9,100766.1,3,5
10.0.1.45→52.62.161.110,10.0.1.45,52.62.161.110,11,0.4,7.9934,8,75678.09,6,5
10.0.2.83→52.143.146.240,10.0.2.83,52.143.146.240,10,0.4,2.2,7,35766.1,5,5
10.0.2.76→52.143.146.240,10.0.2.76,52.143.146.240,11,0.4,8.7016,8,123917.18,4,5
192.168.1.39→52.174.33.8,192.168.1.39,52.174.33.8,11,0.4,2.094,6,34340.0,3,5
10.0.3.34→52.219.23.155,10.0.3.34,52.219.23.155,10,0.4,3.8224,6,25557.1,2,5
10.0.2.65→52.91.195.142,10.0.2.65,52.91.195.142,10,0.4,6.1192,9,200109.2,2,5
10.0.1.52→52.7.235.177,10.0.1.52,52.7.235.177,12,0.4,2.966,6,41254.08,5,5
10.0.2.61→52.215.173.59,10.0.2.61,52.215.173.59,11,0.5723,1.9054,7,99389.18,5,5
