sax_word,sax_symbol_cv,sax_acf_peak,sax_motif_fraction,sax_passes,n_observations,pair_id,src_ip,dst_ip,sax_prescreen_pass
bbcbcbccccbccbbcbcbb,0.3333,0.3846,0.6,True,8649,10.0.1.50→203.0.113.10,10.0.1.50,203.0.113.10,True
bbcbccccbbbbcbbcbbbb,0.3533,0.4368,0.6,True,2876,10.0.2.100→203.0.113.55,10.0.2.100,203.0.113.55,True
bbbcbcccbbbbcbbcbccc,0.3431,0.2677,0.5,True,2535,10.0.1.30→216.239.35.0,10.0.1.30,216.239.35.0,True
ccbcbcccccccbbbbcbcb,0.3062,0.4352,0.5,True,722,10.0.1.20→13.107.4.50,10.0.1.20,13.107.4.50,True
bbbbbcbbcbbcccbcbcbc,0.3499,0.25,0.5,True,721,10.0.1.75→198.51.100.20,10.0.1.75,198.51.100.20,True
baccccccbbbcccccbbcc,0.3644,0.6176,0.5,True,119,10.0.3.200→198.51.100.99,10.0.3.200,198.51.100.99,True
bccdcabccadbaacd,0.7071,0.5185,0.5,True,18,10.0.3.101→52.43.87.64,10.0.3.101,52.43.87.64,True
bbbbbdbaaadddda,0.8571,0.697,0.4667,True,17,10.0.3.56→52.162.2.26,10.0.3.56,52.162.2.26,True
abddcbbaddcaba,0.8246,0.8401,0.5,True,16,10.0.1.199→52.220.176.136,10.0.1.199,52.220.176.136,True
cddabbabbbcadc,0.7348,0.4259,0.5,True,16,192.168.1.130→52.233.49.105,192.168.1.130,52.233.49.105,True
ddaacbacdcaba,0.9189,0.535,0.4615,True,15,10.0.2.227→52.45.97.168,10.0.2.227,52.45.97.168,True
daabbbbbcbbdb,0.7235,0.2415,0.4615,False,15,192.168.1.66→52.10.55.130,192.168.1.66,52.10.55.130,False
bcbcdbccbaacb,0.6035,0.6695,0.4615,True,15,10.0.1.100→52.123.82.136,10.0.1.100,52.123.82.136,True
bdacdbbbdbacc,0.6557,0.8056,0.4615,True,15,10.0.1.229→52.11.88.252,10.0.1.229,52.11.88.252,True
dbbdabcddbaab,0.7877,0.4777,0.4615,True,15,192.168.1.230→52.200.13.94,192.168.1.230,52.200.13.94,True
dbbcbaddaaccb,0.7406,0.8388,0.4615,True,15,192.168.1.192→52.7.235.177,192.168.1.192,52.7.235.177,True
cbdcbcbaaaabd,0.8524,0.5981,0.4615,True,15,10.0.1.59→52.38.211.174,10.0.1.59,52.38.211.174,True
cdaabcccbdbad,0.7036,0.4031,0.4615,True,15,10.0.3.1→52.73.192.243,10.0.3.1,52.73.192.243,True
cdacbbbcccaac,0.6667,0.2326,0.4615,False,15,192.168.1.248→52.250.188.94,192.168.1.248,52.250.188.94,False
accbacddcbbbb,0.6359,0.4568,0.4615,True,15,192.168.1.112→52.158.10.202,192.168.1.112,52.158.10.202,True
bdbcbbbccaaa,0.7693,0.3563,0.5,True,14,10.0.2.131→52.34.104.238,10.0.2.131,52.34.104.238,True
babccbbbbdda,0.7071,0.625,0.5,True,14,10.0.3.56→52.164.235.44,10.0.3.56,52.164.235.44,True
aaacddbbcbba,0.9147,0.5033,0.5,True,14,10.0.2.173→52.185.69.232,10.0.2.173,52.185.69.232,True
bacdbcbbbbcb,0.559,0.4,0.5,True,14,10.0.1.33→52.73.192.243,10.0.1.33,52.73.192.243,True
ddaaabbccbbc,0.7706,0.4561,0.5,True,14,192.168.1.198→52.204.28.79,192.168.1.198,52.204.28.79,True
dabbcbbbabdb,0.7394,0.3171,0.5,True,14,192.168.1.112→52.160.85.188,192.168.1.112,52.160.85.188,True
cabbbbaddcca,0.7706,0.5789,0.5,True,14,10.0.1.161→52.195.208.14,10.0.1.161,52.195.208.14,True
dccbbddaaaac,0.8381,0.3865,0.5,True,14,192.168.1.198→52.67.61.32,192.168.1.198,52.67.61.32,True
cbacdccabacc,0.6733,0.6336,0.5,True,14,10.0.3.99→52.98.120.54,10.0.3.99,52.98.120.54,True
bbbbddcbacbb,0.6085,0.4766,0.5,True,14,10.0.1.211→52.176.94.211,10.0.1.211,52.176.94.211,True
aadcabbbdddc,0.7499,0.3596,0.5,True,14,10.0.1.137→52.124.197.123,10.0.1.137,52.124.197.123,True
bdbbbbbbbbdb,0.559,0.2364,0.5,True,14,192.168.1.23→52.3.1.64,192.168.1.23,52.3.1.64,True
bbcdbbbcbbdb,0.5092,0.4286,0.5,True,14,10.0.1.225→52.82.73.198,10.0.1.225,52.82.73.198,True
dbabbcccbbac,0.6374,0.5385,0.5,True,14,10.0.3.161→52.200.13.94,10.0.3.161,52.200.13.94,True
